pan_id,phone,cibil_score,total_accounts,active_accounts,total_loan_repayments,timely_loan_repayments,active_credit_cards,total_credit_card_repayments,timely_credit_card_repayments
IYWZG1241X,7421969567,641,7,4,230,21,2,38,29
YCGES7771O,7758751254,576,5,1,178,88,3,28,18
WYNWG0109D,8495455347,845,2,0,202,196,1,40,18
DLVGA2129V,6866587554,502,5,1,198,181,3,54,41
HFBLJ6877K,8929162265,823,9,6,143,102,4,23,12
FGMMF6853S,8835833884,485,8,4,132,86,2,23,6
EXHEU6570R,8577782564,778,2,0,223,136,2,9,8
EUPVV7990X,8642498797,551,6,3,157,45,5,19,7
EZVMO2630V,6732525722,696,8,4,25,20,4,40,32
ZAORB6094O,6721312386,530,4,1,45,36,2,8,4
UUOHD6001Z,7943247757,656,8,4,131,106,5,5,5
VAXTC8994L,9632886191,755,6,3,125,50,5,44,32
WSPQD1579T,6679432621,840,6,2,194,136,4,38,6
ZFHXB3594W,8884214284,680,3,0,229,207,1,59,31
FRTKU4199L,8882899257,602,14,11,70,18,4,60,28
CRXQH8223Y,7577652262,708,9,5,127,21,2,46,7
ICISA3463U,6592398885,745,8,5,81,55,4,41,18
VQNVO4292H,8678555793,801,8,4,168,83,1,41,36
DLZBY1817E,6334644721,502,14,10,54,44,3,54,6
PQBOY5175F,7831822642,805,12,8,81,61,2,59,30
PEWJX6565H,9839333535,833,5,2,94,19,1,57,12
JSDWH9115T,8237824832,414,11,7,87,33,2,44,40
WJSUV2179K,8877951686,533,6,3,133,55,4,5,4
NXEQN3242H,9646862824,616,14,10,117,105,1,39,34
CUJLM4392Q,7634827965,489,9,5,222,68,1,38,6
UJHHJ6327A,7223645324,809,4,0,89,87,5,57,57
VJTPV6747H,6644521428,810,8,5,184,51,5,26,6
GIQJY9667D,7623438485,522,11,7,126,30,5,49,47
YYBYI9003P,6682534935,427,3,0,200,54,3,49,6
SCCOV6322H,8553813874,594,12,8,112,61,3,11,5
VTKXI5373P,7864515756,815,10,6,79,68,2,35,13
ZKHKK5444T,7142268888,850,13,10,57,43,4,20,9
VXXVL0968T,7277473668,478,9,5,39,20,4,43,9
OETOD4681G,7656871635,505,10,6,135,76,3,22,13
RCUTU9085U,8129276818,456,10,6,131,89,1,55,33
QWMBD6493G,8553347758,630,4,0,236,199,4,11,11
FSARN2511Y,8324836796,647,13,10,95,25,5,25,10
KSCRB7163X,8715743257,460,13,9,96,80,1,41,23
KEMHP8883F,8262365781,836,12,8,199,41,2,22,15
HZDLG9932L,8345696887,464,9,5,105,25,5,41,34
PNQAA6462J,8578458126,653,6,3,211,182,2,56,46
QRXDQ8265J,9238457955,513,2,0,58,34,3,43,11
BKTVI6159L,6422494569,695,5,1,146,144,5,23,19
OURVL0293L,9554549658,427,6,2,106,41,3,17,13
PNVER1642A,6436296977,685,14,10,55,55,5,8,8
WOPJI5233X,7553358587,673,13,10,91,86,4,49,45
IPNJF9444F,9616269844,710,5,1,92,72,4,9,7
HHYSK9244L,9368451142,654,2,0,215,23,5,50,28
CWJYJ0114P,8796527333,562,14,10,23,20,2,19,15
PECXR6608H,6341156756,487,14,10,112,100,3,34,32
NNCGP8148A,7448151386,720,9,5,31,31,3,53,48
ZMNXY5686Q,9488296778,671,10,7,139,71,5,23,16
SJGAG4197R,8884567456,703,5,2,153,109,3,5,5
BNRWK3001T,7729454772,781,3,0,84,71,2,40,16
AJZMG9781K,7123738882,810,4,1,181,123,1,33,29
ABQKM9861C,7735146142,487,3,0,151,29,4,11,5
DRTLQ8871X,7748828653,681,2,0,205,181,3,56,52
TTABW0363U,8445266588,407,4,1,124,65,3,41,30
IYAPC0729B,9693877851,627,11,7,212,209,3,39,14
XCXFV1439A,9366182614,717,14,10,154,112,4,60,44
AAKHL3642U,6275687735,674,14,10,225,60,4,47,22
AAXYE0673J,9324517669,560,3,0,93,61,2,20,18
MDVFA4772E,6673978649,639,14,11,190,78,1,33,4
MLFUY2689Z,6654735893,445,6,2,125,48,5,16,13
XQWOK6893A,6594662922,637,5,1,81,64,5,36,27
EWQMS6548C,8724923996,606,6,2,189,30,5,4,4
VBUUU8894R,6393425243,575,9,6,38,23,4,20,5
ULPSQ7832R,7956363235,844,2,0,113,22,4,50,6
XZSZC9830D,9572355835,819,10,7,60,41,4,55,20
USGGF0508W,6322329278,505,10,6,129,62,1,41,29
QNNOS6335A,8275411854,476,4,0,226,212,1,23,8
RYIIP2999F,9774342433,737,6,3,100,90,5,40,39
SBZVL2643N,6598723764,538,9,5,122,58,3,25,15
GYAIG3792R,7675956157,484,8,4,64,33,4,23,18
ZWHFA7154Z,9172285697,502,3,0,145,75,2,55,55
YLAQN0149V,8675335768,790,3,0,136,31,2,52,7
LEUEU8886M,7178284372,754,9,6,134,122,5,53,43
NPKOO8257E,9382255795,487,8,4,103,38,4,18,14
TKRIO9328R,9889283627,705,14,10,63,43,4,23,8
TBFFT0206Z,8654553845,633,8,4,217,188,4,44,19
IABDE1859N,6888133444,672,2,0,67,52,5,35,7
YLDNI8729Q,7866638911,707,8,5,187,124,1,32,8
EOZRD9945B,6235292222,662,8,4,149,98,3,22,22
SNOJG3080Y,9453887554,426,4,0,125,73,2,14,8
ZOEQQ5421P,7458714439,621,8,5,60,34,4,12,8
ZLRCS5984G,8522354324,805,13,10,166,164,1,35,5
ORCXR1252Z,6836479872,441,14,10,74,54,1,59,26
BALNB1597J,8146834782,750,13,9,137,106,1,16,11
RQHQH2657E,8265334544,707,11,7,173,115,5,46,45
BOMKK6650C,6415338768,777,4,1,227,189,2,30,7
YCAYB7326X,6445734655,435,3,0,102,66,3,11,10
IFGGE2694R,8426866812,668,13,9,184,157,3,56,43
ZKONS9599I,6725474984,792,14,10,31,26,4,8,6
YJRKT3431D,7748793588,633,9,6,207,106,4,12,11
VYVQW9978J,9566482896,807,9,5,225,209,4,5,5
QHIBU4455A,9436845549,508,12,8,134,92,3,50,28
DSNCJ0778O,8717155427,537,13,9,228,203,3,4,4
LBLDQ6876N,9196453921,548,2,0,50,38,2,34,29
PJZZG8635O,9339682962,414,7,3,46,40,3,35,20
FMOYL2434P,6727659622,417,14,11,139,60,3,17,12
QZYXS9924C,9454282878,567,2,0,60,27,2,10,10
REFPE0840Q,9712947279,792,3,0,112,23,4,51,20
KROXA6533W,6452261245,849,3,0,20,19,2,31,18
FBQLG2068Z,7767575747,839,5,1,167,97,2,45,39
LYAUH8557U,8811754488,771,6,2,158,121,1,19,10
BQMPY5643B,6779744863,491,13,10,171,166,3,35,6
INLOO6829Y,8671174252,808,3,0,205,142,1,18,17
DSLPK5845U,7655585315,585,8,5,232,178,5,19,10
JRUJB5563X,6331837737,512,5,1,199,182,1,40,31
KLLSO2283S,7774475376,718,2,0,234,123,4,59,57
AFCCI4032O,9288747418,845,6,2,122,45,1,15,6
JBQDI1304A,8266337216,795,3,0,139,37,5,29,25
YODLO0842V,9774333477,733,5,1,159,25,3,12,11
CHAHR0994V,6968562311,413,8,5,164,120,2,43,14
MWHUF5436I,8812872727,580,5,2,72,48,3,42,29
REZFT2621M,7833225668,686,13,9,74,59,5,60,15
MSLHK3140W,7492456464,531,10,7,140,84,3,23,10
AVZCO9409I,6572753247,524,13,9,197,50,1,10,4
NPMPO4920Q,6646419522,432,2,0,51,25,4,49,10
VAJLV6311H,6368558463,415,12,9,110,25,3,36,26
KVFFV4437S,8224542911,512,12,8,23,22,4,59,35
VNBLL0622K,9747832165,417,13,9,98,43,3,53,15
YLPUU8777E,7544642415,461,3,0,88,26,1,34,20
XUYSF5596S,6478434173,819,9,5,226,198,5,56,13
AJQVK3221S,9644922723,560,12,8,106,68,2,55,20
VNVHQ7994G,9687645879,577,10,7,93,41,1,45,32
EUDVR8094C,6378481244,469,6,3,125,53,4,22,5
GRZSM1521O,9152187972,781,10,6,30,24,1,41,12
TXCAG9194L,9477896158,679,6,2,85,79,1,31,10
XBXBZ9608K,7724271877,523,5,2,115,54,2,30,17
ETEZT2865D,6323418755,760,10,6,72,36,3,4,4
PWTEI9897Z,7545836284,663,12,8,171,171,3,40,23
KTFUJ2252J,7884722846,595,8,4,96,49,1,26,24
NKBTX3415Z,7728663124,579,3,0,188,130,3,39,35
STGRI9546F,9731614874,672,9,5,239,209,5,29,29
SKHQL1686K,7782937623,595,8,4,164,21,1,45,36
BPDXG3474Z,6666113277,733,7,4,149,116,4,32,9
ACTXP7326M,7524288482,743,7,3,94,39,3,17,13
MAPQQ9002B,6923929236,403,11,8,42,30,1,47,33
EMQFP0609Y,9386237283,649,8,4,54,23,2,35,29
RBGQY0396H,7863336258,526,13,9,26,20,4,6,6
YUDAB0606S,6357778767,644,7,3,162,100,2,29,22
UWRYE8838W,9971162867,481,13,9,20,19,4,5,4
DRPTK0251C,6661387734,536,11,8,236,231,3,24,15
QLGCE2082D,9535648226,513,5,2,169,41,2,15,9
MQKAR1518T,8686585434,455,8,4,84,58,3,59,57
VETWX5585Z,6572786269,648,14,11,229,154,2,45,30
TSATU8175C,9775296171,703,6,2,220,181,1,18,13
UYBKJ8693H,9814333234,601,14,11,234,193,4,28,7
GYPTK7029Q,9722442434,502,10,6,132,121,4,22,4
MJBDB3279M,9877643339,421,5,2,87,73,5,26,9
ZNBVI9908C,6378264288,442,5,1,239,195,3,44,23
MSIYJ9309S,7766333252,539,2,0,187,93,5,6,6
BZDOK8823T,8772322426,680,2,0,114,43,5,27,8
XJFBN5306P,7539851237,640,5,1,210,170,2,45,19
QDPEV9756S,8166686144,781,13,9,146,99,3,23,5
ICZZT3276F,7725623868,414,9,5,116,87,1,58,36
YCPTK8724B,8637857217,817,8,4,118,56,5,23,15
ZNCJC7742T,9328692144,498,8,4,53,33,2,25,17
YBOTE6580F,9456359883,802,9,5,39,36,5,15,11
JJGKY7551Q,6751584159,643,6,2,89,65,5,8,5
BLCAQ7051E,9825558892,624,14,10,132,94,1,17,10
RRJQF9696V,9588488335,527,13,10,83,52,1,43,15
NEYPY1767K,6414268284,845,8,5,240,128,4,17,5
KIJIP3853F,9348225636,635,5,2,64,28,4,14,9
IUJOL8291H,6717812382,771,12,8,98,85,5,16,4
KXUJF8848O,9434856963,692,14,10,161,98,3,54,16
FEHKP8991S,9925769277,644,8,4,126,50,1,20,10
AWVNL1011W,9362554364,661,9,6,119,112,4,33,19
MVTBD6699H,7855632466,826,6,3,170,42,4,9,4
RKLXU5812K,8672986345,432,11,7,48,28,5,31,23
IHPBS5674D,6447779873,811,12,9,213,57,2,7,5
MIUJU5922E,9528548345,463,5,1,117,53,5,40,23
VNUFU3410S,6891865127,443,10,7,229,50,4,47,19
NYLZJ4143I,6144387422,427,11,8,203,202,2,43,30
EPQQY7714F,9712255846,708,12,8,116,115,4,15,4
YAKNZ7597W,8297815215,609,12,8,98,76,3,26,5
NWTZM8930G,9454148947,480,4,0,212,82,3,29,17
SSVIH4488A,7634634992,742,5,1,22,22,4,59,56
REEUZ8091A,7254877948,649,11,7,119,103,4,19,4
OGRPK5672U,7427693544,536,2,0,29,20,2,49,32
IZFJO6368M,6865177224,472,12,8,147,128,5,52,17
CVPQZ9828Y,7487929636,791,10,6,59,24,5,38,10
VWWKF1059K,9512794382,685,4,1,90,53,3,46,30
PWPUX1661I,6573666526,727,14,10,43,32,1,41,27
IOIFU7435T,6323734643,718,3,0,105,45,2,34,27
TMWJT7452H,6251233497,767,10,6,61,47,1,57,33
IVXAS3747M,8587426747,427,14,11,69,36,4,34,11
BTIUF1599W,8169515383,579,6,2,162,139,1,13,13
MUWZD9053V,9753888687,685,11,7,103,42,2,56,36
VWDZX8724R,7748732697,541,4,0,151,47,3,32,6
ORKHL3975E,9342714274,825,6,2,173,55,3,30,23
PLPEO7854I,8777952242,466,14,10,145,124,3,4,4
ZKYJE2616F,9376167574,737,9,5,217,87,2,43,35
XEFAD5926U,9264385626,636,13,9,124,35,3,24,24
HXSWR0179M,8348544788,831,4,0,37,34,1,48,41
KSUEY5179F,8473785334,686,12,9,155,44,2,25,6
MLISS7670V,6392721712,694,5,1,82,30,2,50,45
CWCYB5386U,9135832656,412,11,7,99,52,4,48,46
EBSMW1152J,8423931843,593,3,0,190,133,2,4,4
VLXYS6968T,9244964426,799,13,9,28,28,4,27,4
RTHNR5647A,9883831183,589,4,1,195,174,5,11,9
NJSEN0727S,8276263882,663,10,6,63,21,5,22,11
OGXQQ2476H,9746537737,850,2,0,99,76,3,53,16
FXJGM3443H,9846888255,621,6,2,35,20,3,7,4
TZBVT4879L,7447134774,784,2,0,219,196,3,50,31
TZWFY3469N,8317488236,575,11,8,131,24,2,11,10
IRRTN7641B,6466383583,674,10,6,235,185,5,13,13
JDWZB7100V,9728456455,822,6,2,55,26,3,11,9
QUVXF5373L,9655855794,593,12,9,77,34,1,27,25
LNVIZ2737Q,8439227675,603,13,9,84,71,5,20,18
BKZFI3184D,6655834786,813,3,0,167,37,3,34,6
WNWWP7212W,8656415518,543,11,7,18,18,1,30,11
JTEOL4064I,8655688363,617,6,2,127,35,5,41,8
GEART8461B,6733641374,473,6,2,28,22,5,56,26
GRNPM3063L,6572652186,422,7,3,97,31,4,17,17
KUUPQ7629F,9687123397,618,12,8,41,40,3,40,25
BHTEB0425P,9762885467,471,11,7,218,150,5,55,7
KIVYG7423Q,8424221286,795,14,11,57,56,5,59,23
UMGNY3747H,7542782739,756,8,4,179,25,3,34,20
AXBDE6980V,7862229828,839,6,3,167,102,2,18,6
ZWFPJ5021G,9395174518,690,7,3,18,18,1,56,30
TXJSS4891Q,7258353568,844,4,0,190,107,4,28,24
OCOBY5074S,7376483552,409,9,6,96,35,1,30,22
TLGYI7176M,6684258575,460,3,0,80,57,4,35,21
IZYOJ8040L,8152554882,507,5,2,176,81,5,24,17
DOBJR7108U,9497733242,425,14,10,27,21,3,28,21
UJQNY4478W,8222576278,782,14,11,188,162,2,46,36
DJBCB4991O,6626234859,730,11,7,121,59,4,20,4
DOSVB8696D,7399977138,768,3,0,58,56,4,40,18
CXJEP3397H,7929735759,803,3,0,174,58,3,5,5
BDMJU0581A,8536285135,548,12,9,146,27,4,53,51
IAMUI6917B,6113512363,840,13,10,180,83,1,28,4
TBCRD2788S,6688424652,703,13,9,42,42,4,27,24
IBPUU2914K,9728875844,479,12,9,194,177,4,28,24
DVBAA7877S,7728544387,839,9,5,48,25,1,7,7
JCUCT6007I,6469152785,682,3,0,113,41,4,5,4
NVJQC4079I,9546916382,770,2,0,113,37,1,24,24
MCWBJ4938W,7814356577,560,6,3,178,75,2,60,55
DKFZJ7008S,8897638971,602,14,10,216,199,2,42,21
YQNKA7880O,9962664174,613,6,2,162,110,2,40,24
LXMMH6331M,9584572342,700,6,2,117,77,2,30,6
KZEIK5462L,6529967882,582,11,8,146,36,5,37,7
YQBUR1532Q,7974781428,631,6,3,116,28,3,28,8
EMFZO9711N,7665636369,595,6,3,102,82,5,35,30
DDJFE6089Z,7392636766,713,3,0,65,44,5,9,6
ROQON9642Z,7825147778,458,12,8,224,77,5,18,5
HDUJJ7593X,6732129529,559,10,6,72,50,5,21,13
HPQOK5002W,9325235918,515,3,0,199,103,3,42,13
ENFGD1871Z,9289228369,552,10,6,217,178,1,9,6
RARNE5040U,9362453769,686,2,0,41,31,5,54,54
CYVMH3679H,9665574368,429,5,2,26,23,1,45,40
PLXXB9796S,9673247824,664,8,4,61,23,2,50,16
XTPEF4093P,7594686387,496,4,0,218,79,2,39,5
CTXRY2808M,6687787136,616,3,0,23,18,5,32,8
XMWFL6593M,6474266886,414,3,0,36,31,5,6,6
IKEMK0912H,8438681658,406,12,8,186,42,4,41,13
CWDBI2973I,7676387485,839,3,0,170,47,5,37,36
MBMWJ0807P,7574698329,632,4,0,38,33,2,41,26
SZORD4890L,6247214511,823,11,7,161,24,2,7,7
XJUXE5089V,7618771647,559,4,1,154,30,2,37,31
CTTRR4544S,8871369343,706,12,9,25,21,4,16,16
NUWEC2860X,9238661917,465,13,9,208,46,1,48,43
XNMUO5203W,6338582823,701,4,0,99,88,3,35,17
YBVTQ3066R,6739728585,679,14,10,23,22,1,13,9
DEPQH9002Z,9388456139,509,10,6,103,91,5,27,7
FUTFG5671D,9746617436,841,3,0,226,132,4,7,6
KUFKE5549G,8424688957,523,5,1,131,103,1,43,36
AVHSS7048Z,9484321173,730,9,5,148,24,1,43,43
DYZSU3739B,6854992696,662,3,0,169,77,4,33,8
USJKZ4894U,7324879272,823,13,9,224,21,2,47,25
XKOTS9428M,7456783285,694,5,1,82,27,2,10,7
WHSMD9174D,9188294162,781,3,0,145,37,5,40,11
IPPVO5501V,6238675723,414,13,10,195,78,5,27,25
VJFGK2643C,9283382357,786,11,8,165,87,2,5,5
PCTLF9805O,6584495488,586,14,10,92,18,2,18,5
JSRGQ7577G,9187155358,432,12,8,208,132,3,36,20
NENKH7038A,6654757866,688,13,10,147,33,2,55,42
AUUJB2097E,7466695159,473,13,9,101,62,3,55,30
KJLJX4440V,6158382764,647,4,1,106,63,5,24,11
YTGNQ1142Y,9329588616,495,10,6,106,64,2,36,12
DHOME9276X,6238261555,742,10,7,71,48,5,17,5
EBBEC1255A,7688347761,468,4,1,219,144,2,15,6
SSTDJ4134L,6846442877,604,7,3,75,49,2,29,23
GZLLG5195H,9736386248,598,11,7,144,30,3,40,37
XLJXK4337G,8461541446,538,3,0,234,46,5,56,4
CICDO7866V,6448235454,436,2,0,28,27,4,6,4
CECVF9630J,6548247449,680,10,7,68,61,1,4,4
JTYUA1380O,9755886687,732,4,0,107,95,4,55,29
NWBMS2497M,8248674185,808,12,9,137,33,2,58,7
CDZFK5705A,7254553288,595,5,2,159,108,5,41,31
WZQBS8155L,8658274177,400,6,2,123,68,3,7,6
WYBMP8560L,9427778938,729,8,4,111,108,4,16,8
JNXLM5933V,7542366954,550,3,0,202,80,2,6,6
NJMGZ7276Y,7628284783,560,7,3,70,61,2,28,21
NJCAE6824M,8978753648,847,14,10,61,36,2,21,4
QLZOC8270C,7378142212,754,10,6,194,19,5,13,7
GEOAX7235E,7722335674,623,9,5,44,21,4,28,23
GTLGH8699I,7477966636,820,8,4,26,21,2,5,4
CJETX7837C,9875268989,617,14,10,100,74,5,38,15
ANLXC9737S,7464455244,602,5,1,25,20,1,55,24
FSEXL6843C,8716189535,418,7,3,68,29,1,47,37
ZNLDA4450U,9692263237,544,2,0,42,37,3,52,7
OOIQC7863S,9757632466,468,14,10,193,77,5,46,34
WLATZ5641B,8856552216,614,9,5,21,18,1,35,12
CUPWZ9912P,8128767255,706,9,6,77,32,2,29,29
PBZHU8036A,8134926679,468,9,5,190,26,2,12,4
ZULJO2695B,7179721253,585,3,0,240,133,1,10,4
RSTCX2166A,8421347592,706,3,0,207,204,3,24,12
BROWK0157J,9565185822,461,7,4,237,78,4,28,4
RYPXN4220F,6613878393,812,2,0,233,85,5,45,28
JUODE3536I,7665192927,708,3,0,118,103,5,58,11
DFIOB2090U,8659776485,494,8,4,215,127,1,45,33
XADZZ2717G,8741867548,786,10,6,167,118,2,47,10
LTYXT7387Q,7244856338,465,8,4,143,126,4,38,30
ZENMG9298U,8566535342,680,7,3,139,26,2,59,30
IDGBT0907W,9558447387,707,11,7,218,26,3,8,7
MTIJE0358H,7872338594,454,9,5,211,103,3,36,10
YDOUQ4456K,8825836294,454,12,9,29,19,3,15,13
JNRPI5801W,8577487553,408,4,1,166,85,5,54,32
NOPAW1700C,8461625558,693,6,2,204,200,3,36,9
UGSVG7309S,8685737462,603,5,2,220,187,2,8,6
XYVFO6767M,6368346867,849,11,7,232,179,1,8,8
JWESQ8054R,8558865399,480,6,3,43,26,2,25,4
LFVAW8101S,8258996362,649,8,4,110,21,4,42,30
CLGDT2558Q,6238496852,598,4,0,149,29,4,25,25
DGZVL1850V,7396586927,534,13,9,130,103,2,56,34
RJZHY2718Z,7771341115,730,11,7,104,99,1,41,37
NMGXQ8112N,8574359197,668,9,6,40,38,3,18,10
BLLAT3298O,7238252463,403,4,1,59,19,1,34,13
QAEGP3775D,9914811731,485,10,6,203,82,5,38,35
VVUZO7933A,9782631584,833,5,1,107,63,1,27,16
NYGSY9991D,7444635668,580,8,5,22,18,5,25,10
WKHFW0305F,9721444973,763,13,10,77,18,2,7,5
WNZNR3673B,9397573316,537,5,1,21,19,4,8,4
WFNZH3908B,6236298213,841,3,0,118,111,5,19,19
YYNTF4889W,6857563226,797,4,0,71,40,4,46,42
HNALC3621J,6348464358,516,6,2,91,29,4,18,5
FHONO2546N,6127249999,610,9,5,143,74,3,16,5
FCCHJ9621E,7597547642,830,14,10,37,37,5,9,7
AETVY5501K,7218983741,839,7,3,223,101,5,24,19
JXVKA6714D,8738778585,472,6,2,160,51,1,43,20
JMGML3826Z,9494683285,418,9,5,31,27,1,23,9
YVGMS0754I,8539893412,510,8,4,177,92,2,9,7
HVNAR2443S,6575512347,850,12,8,90,73,3,52,43
CGIZZ0889Q,6748443389,834,6,2,78,27,5,28,27
CYMTT8576M,6677214862,691,4,0,32,18,3,50,31
NXYFG2930L,8514225375,834,3,0,235,50,5,25,19
CWLNB4372L,8775446176,743,13,10,172,164,4,49,21
HAGQO5229I,6414657318,590,3,0,44,21,1,14,8
IGAOG5698A,8536384859,813,2,0,99,43,2,45,27
ZTESL4124N,8253233823,469,4,1,183,62,5,53,49
DUJPF5555B,6643144247,461,2,0,127,56,3,54,42
NBSTI3077N,7379367322,774,7,4,147,46,5,30,5
UTRPK8479Q,7813686356,660,10,6,159,106,5,44,23
EHTHE7966Y,8523368248,589,12,8,28,20,1,9,6
YNZRN5508V,8231565352,617,12,8,198,112,2,37,32
TDHWR7449A,7474536652,704,4,1,225,167,1,40,28
MWDBF4297R,7422362555,480,9,5,70,61,4,11,10
IHWHR6417E,9295682526,543,5,1,82,27,4,48,31
PMOHJ4842C,6251358358,532,5,1,90,41,3,47,42
FOEVP4280K,9879146551,685,11,7,220,189,5,28,15
JYXMN2668E,8687242344,646,4,0,117,22,2,45,29
UVYAW2034M,6388433324,809,4,0,237,208,5,28,9
ZERQB0438A,9619621897,523,13,9,155,88,1,29,25
KWWIB0032V,7925348722,755,12,8,177,78,5,5,4
KEICM2034U,7862142347,471,14,11,225,80,4,37,28
RKOOG4287S,7581689255,599,12,9,218,136,5,43,11
FZISM5270W,6376442825,783,3,0,180,115,1,56,55
ICBEP6415E,6648782973,400,6,3,178,160,5,47,37
EOXFV8955C,6283348628,612,10,6,92,76,4,18,16
