acnumber,custid,first_name,last_name,branch_city,account_status,account_typeaccount_activation_date,account_balance,phone,kyc_status,tri_monthly_avg_balance
A01193,C01193,Domenic,Anderson,Denver,INACTIVE,SAVINGS,12-04-2022,19863,9571545495,Y,7766
A01204,C01204,Hank,Eyres,Madison,SUSPENDED,DMAT,09-04-2022,44408,7153466277,Y,8547
A00642,C00642,Carl,Snow,Houston,SUSPENDED,DMAT,08-04-2022,34663,6626234859,Y,6893
A00564,C00564,Chad,Alldridge,Reno,ACTIVE,CURRENT,06-04-2022,38533,9934284756,Y,5474
A01364,C01364,Doris,Murray,Tallahassee,INACTIVE,SAVINGS,06-04-2022,34051,6878775251,Y,8493
A00969,C00969,Aleksandra,Whinter,Murfreesboro,ACTIVE,CURRENT,30-03-2022,31143,7142268888,Y,5529
A00104,C00104,Kameko,Sharp,Cartagena,INACTIVE,SAVINGS,15-02-2022,49665,6148975357,N,4283
A01383,C01383,Hayden,Wills,Lancaster,SUSPENDED,DMAT,17-01-2022,17084,8366637441,Y,6227
A01491,C01491,Andrea,Thornton,Saint Paul,SUSPENDED,DMAT,04-01-2022,23328,6172166998,Y,9685
A01361,C01361,Denis,Mcleod,Baltimore,ACTIVE,CURRENT,02-01-2022,19026,8388287161,Y,1130
A00491,C00491,Emi,Mccullough,Esslingen,INACTIVE,SAVINGS,28-12-2021,23342,9876491565,N,6576
A01050,C01050,Josh,Mccormick,Hollywood,INACTIVE,SAVINGS,28-12-2021,18200,6798225623,N,1737
A00999,C00999,Carla,Baker,Otawa,INACTIVE,SAVINGS,20-12-2021,19069,6632734562,N,4608
A00376,C00376,Travis,Ellison,Sullana,SUSPENDED,DMAT,10-12-2021,21257,8962582758,N,2923
A00466,C00466,Edan,Mack,Duluth,SUSPENDED,DMAT,05-12-2021,23657,9923512785,Y,3728
A00979,C00979,Maia,Walker,Rochester,ACTIVE,CURRENT,05-12-2021,28202,9954387343,Y,7183
A00997,C00997,Mandy,Oswald,Houston,ACTIVE,CURRENT,01-12-2021,43485,8337236578,Y,7186
A01430,C01430,Benjamin,Blackburn,Ontario,SUSPENDED,DMAT,25-11-2021,35352,6236298213,N,6184
A01473,C01473,Isla,Boden,Jacksonville,SUSPENDED,DMAT,22-11-2021,17711,6857563226,N,3022
A00482,C00482,Nyssa,Wong,Oldenzaal,INACTIVE,SAVINGS,17-11-2021,25838,9957177636,Y,1626
A01369,C01369,Mark,Willis,Sacramento,ACTIVE,CURRENT,09-11-2021,39829,6334644721,Y,5414
A00749,C00749,Chester,Patel,Otawa,INACTIVE,SAVINGS,05-11-2021,46423,7594847349,Y,9683
A00759,C00759,Marvin,Potter,Atlanta,SUSPENDED,DMAT,06-10-2021,17299,6666113277,N,8137
A00778,C00778,Marvin,Moore,Henderson,SUSPENDED,DMAT,28-09-2021,33416,8535856666,Y,4805
A01001,C01001,Hayden,Exton,Miami,ACTIVE,CURRENT,26-09-2021,20437,8846497527,Y,9406
A01454,C01454,Aisha,Mooney,Madrid,INACTIVE,SAVINGS,26-09-2021,33657,6478434173,N,8029
A00100,C00100,Vivien,Jones,Shillong,ACTIVE,CURRENT,15-09-2021,36012,9553474992,Y,7462
A00902,C00902,Rufus,Andrews,Bellevue,INACTIVE,SAVINGS,11-09-2021,35216,6244462538,Y,1738
A01492,C01492,David,Ingram,Zurich,SUSPENDED,DMAT,10-09-2021,43719,7381218183,Y,6599
A01066,C01066,Manuel,Avery,Phoenix,INACTIVE,SAVINGS,17-08-2021,27497,6299518875,N,9248
A00393,C00393,Roary,Joseph,Bischofshofen,INACTIVE,SAVINGS,08-08-2021,24866,9176598748,Y,1301
A00416,C00416,Warren,Raymond,Cádiz,ACTIVE,CURRENT,08-08-2021,21999,6614778886,Y,2859
A00806,C00806,Nathan,Bennett,Garland,SUSPENDED,DMAT,04-08-2021,35356,7954732678,Y,6624
A00897,C00897,Caleb,Connell,Rochester,ACTIVE,CURRENT,27-07-2021,16471,9998989758,Y,7913
A00454,C00454,Adam,Dillon,Marawi,INACTIVE,SAVINGS,14-07-2021,19181,9765874644,Y,7318
A01472,C01472,Christy,Moore,Pittsburgh,INACTIVE,SAVINGS,14-07-2021,35068,8448385692,Y,4159
A00404,C00404,Tamekah,Hicks,Lerum,SUSPENDED,DMAT,30-06-2021,15849,6653439864,N,2445
A00006,C00006,Herman,Salazar,Belfort,INACTIVE,SAVINGS,07-06-2021,25504,9655225562,Y,4132
A00714,C00714,Analise,Chappell,Phoenix,SUSPENDED,DMAT,30-05-2021,24290,9831232492,Y,3740
A00516,C00516,Mackenzie,Ramsey,San Diego,SUSPENDED,DMAT,18-05-2021,30253,7884722846,N,3938
A00918,C00918,Sonya,Phillips,Paris,INACTIVE,SAVINGS,17-05-2021,23023,8768657525,Y,8758
A00001,C00001,Hammett,Robles,Şanlıurfa,ACTIVE,CURRENT,14-05-2021,49974,7948572443,Y,2029
A00135,C00135,Gannon,Odom,Ong,SUSPENDED,DMAT,25-04-2021,26229,9459257299,N,2742
A00217,C00217,Paula,Pollard,Wolfsberg,ACTIVE,CURRENT,13-04-2021,49421,9226237297,Y,4439
A01217,C01217,Nick,Reid,Fort Lauderdale,ACTIVE,CURRENT,06-04-2021,47470,9739723348,Y,8772
A00649,C00649,Chester,Sinclair,Springfield,INACTIVE,SAVINGS,31-03-2021,47814,7466695159,Y,1415
A01008,C01008,Janelle,Freeburn,Bellevue,SUSPENDED,DMAT,06-03-2021,19000,9866959872,Y,1863
A00916,C00916,Callie,Garner,Oklahoma City,ACTIVE,CURRENT,23-01-2021,39402,9767427528,Y,2336
A00678,C00678,Lynn,Harris,San Antonio,SUSPENDED,DMAT,03-01-2021,24435,7977811498,Y,2251
A00929,C00929,Blake,Mason,Los Angeles,INACTIVE,SAVINGS,21-12-2020,33822,8258535819,Y,5258
A01314,C01314,Tess,Roberts,Garland,ACTIVE,CURRENT,18-12-2020,48779,7277473668,Y,1507
A00952,C00952,Julius,Wright,Philadelphia,ACTIVE,CURRENT,17-12-2020,43447,6753375746,Y,6596
A01014,C01014,Wendy,Russel,Lisbon,INACTIVE,SAVINGS,14-12-2020,19199,8766479316,N,9168
A00875,C00875,Fiona,York,San Antonio,INACTIVE,SAVINGS,13-12-2020,37994,7447134774,N,6778
A00689,C00689,Manuel,Roth,Tokyo,SUSPENDED,DMAT,11-12-2020,48806,8772583282,Y,2178
A00536,C00536,Nate,Emmott,Minneapolis,SUSPENDED,DMAT,28-11-2020,33803,8618773627,N,2643
A00546,C00546,Carl,Tanner,Boston,ACTIVE,CURRENT,25-11-2020,41849,9889283627,Y,6876
A01211,C01211,Alessandra,Reading,Prague,INACTIVE,SAVINGS,29-10-2020,21486,9366182614,N,2936
A01182,C01182,Benjamin,Stone,Quebec,ACTIVE,CURRENT,26-10-2020,21342,9354448891,Y,7278
A01385,C01385,Gina,Campbell,Saint Paul,SUSPENDED,DMAT,24-10-2020,18741,8297815215,N,5573
A00380,C00380,Ronan,Dillon,Castres,ACTIVE,CURRENT,01-10-2020,35252,9623263764,Y,9587
A01046,C01046,Regina,Stone ,Arlington,ACTIVE,CURRENT,29-09-2020,41067,7379367322,Y,5732
A00552,C00552,Mayleen,Goodman,Anaheim,SUSPENDED,DMAT,27-09-2020,45538,9376167574,N,2484
A00908,C00908,Nicholas,Lakey,Denver,ACTIVE,CURRENT,26-09-2020,27862,7481273385,Y,2326
A01194,C01194,Doug,Benson,Tallahassee,INACTIVE,SAVINGS,21-09-2020,30105,6522762783,N,2148
A00174,C00174,Burke,Mason,Aparecida de Goiânia,ACTIVE,CURRENT,03-09-2020,38352,7144388743,Y,1411
A00331,C00331,Mechelle,Andrews,Lebowakgomo,SUSPENDED,DMAT,30-08-2020,17158,8744329668,N,4194
A00023,C00023,Griffin,Peterson,Brest,INACTIVE,SAVINGS,21-08-2020,20591,8777952242,N,7970
A01162,C01162,Brad,Grey,Laredo,ACTIVE,CURRENT,20-08-2020,28873,8473785334,Y,9030
A00396,C00396,Graham,Daugherty,Mardan,SUSPENDED,DMAT,05-08-2020,47132,8587865493,N,9252
A00965,C00965,Cassandra,Shaw,Lakewood,SUSPENDED,DMAT,05-08-2020,28780,6654757866,Y,2629
A00596,C00596,Estrella,Harrison,Venice,INACTIVE,SAVINGS,21-07-2020,27426,7722335674,N,7708
A01219,C01219,Lindsay,Bailey,Indianapolis,INACTIVE,SAVINGS,21-07-2020,15272,7185832863,N,6350
A00687,C00687,Kieth,Haines,Laredo,SUSPENDED,DMAT,10-07-2020,26749,7675956157,N,9260
A01358,C01358,Savannah,Knight,Honolulu,SUSPENDED,DMAT,08-07-2020,25375,7653424383,N,2771
A00733,C00733,Cedrick,Buckley,Berlin,SUSPENDED,DMAT,06-07-2020,24875,7864224627,Y,2538
A00613,C00613,Sara,Jeffery,San Diego,INACTIVE,SAVINGS,03-07-2020,29792,6251358358,Y,1277
A00852,C00852,Mina,Skinner,San Diego,ACTIVE,CURRENT,02-07-2020,40025,6747485327,Y,7143
A01470,C01470,Maribel,Atkinson,Oakland,INACTIVE,SAVINGS,29-06-2020,23767,8574698294,N,6054
A01180,C01180,Lucas,Eagle,Garland,ACTIVE,CURRENT,24-06-2020,48784,7123738882,Y,9709
A00593,C00593,Rosemary,Newman,Bucharest,ACTIVE,CURRENT,07-06-2020,16701,9763265995,Y,4277
A00414,C00414,Xandra,Ray,Chalon-sur-Saône,SUSPENDED,DMAT,05-06-2020,18625,9455365474,Y,9895
A00669,C00669,Marissa,Fall,Scottsdale,SUSPENDED,DMAT,04-06-2020,29587,6283348628,Y,5880
A01248,C01248,Adelaide,Clarke,Milano,INACTIVE,SAVINGS,27-05-2020,36643,6472847893,Y,7622
A01315,C01315,Lara,Durrant,Lisbon,ACTIVE,CURRENT,27-05-2020,36441,9546676653,Y,3853
A00856,C00856,Sadie,Smith,Bucharest,INACTIVE,SAVINGS,12-05-2020,32756,7344655756,N,8727
A00878,C00878,Matt,Todd,Tokyo,SUSPENDED,DMAT,04-04-2020,30251,8415281667,Y,7513
A01019,C01019,Rebecca,Parker,Houston,ACTIVE,CURRENT,04-04-2020,23421,9588488335,Y,8007
A00443,C00443,Kirby,Wright,Okpoko,ACTIVE,CURRENT,30-03-2020,17268,7787744123,Y,2112
A01057,C01057,Michael,Tutton,Springfield,INACTIVE,SAVINGS,10-03-2020,28204,7556261687,Y,6162
A00224,C00224,Angelica,Parsons,Veere,SUSPENDED,DMAT,03-03-2020,32731,6439965348,N,2788
A01337,C01337,Alice,Johnson,Lakewood,INACTIVE,SAVINGS,23-02-2020,40527,9875838688,N,4425
A01289,C01289,Marina,Warner,Rochester,ACTIVE,CURRENT,12-02-2020,40976,6285257555,Y,2918
A00656,C00656,Doris,John,Boston,ACTIVE,CURRENT,10-02-2020,31601,6865177224,Y,2482
A01441,C01441,Goldie,Flack,Amarillo,ACTIVE,CURRENT,02-02-2020,33798,7544642415,Y,5975
A00831,C00831,Anthony,Edwards,Washington,SUSPENDED,DMAT,21-01-2020,38746,6629431455,N,4755
A00312,C00312,Colette,Phelps,Tranent,INACTIVE,SAVINGS,17-01-2020,22190,7325273457,N,4920
A01205,C01205,Rose,Fowler,Los Angeles,SUSPENDED,DMAT,15-01-2020,22943,6421993976,Y,1958
A01199,C01199,Rihanna,Bishop,San Diego,ACTIVE,CURRENT,09-01-2020,46286,7231575623,Y,3771
A00050,C00050,Echo,Mclaughlin,Saarlouis,INACTIVE,SAVINGS,06-01-2020,42802,8224542911,Y,8358
A01106,C01106,Helen,Veale,Dallas,SUSPENDED,DMAT,05-01-2020,46891,8888554124,N,9097
A00406,C00406,Mason,Pickett,Ergani,ACTIVE,CURRENT,26-12-2019,23172,9619941545,Y,9523
A00463,C00463,Kennan,Aguilar,Marcedusa,INACTIVE,SAVINGS,02-12-2019,37610,6572753247,N,1904
A00651,C00651,Gladys,Payne,Fort Lauderdale,SUSPENDED,DMAT,30-11-2019,28777,8338617384,N,6542
A01481,C01481,Elise,Price,Honolulu,INACTIVE,SAVINGS,29-11-2019,35361,6356459568,N,9775
A00858,C00858,Ally,Bryson,Philadelphia,SUSPENDED,DMAT,15-11-2019,39768,7611386534,Y,2509
A01238,C01238,Dakota,Cobb,Tokyo,INACTIVE,SAVINGS,01-11-2019,36993,6515497368,N,6236
A00080,C00080,Bo,Malone,Uddevalla,SUSPENDED,DMAT,29-10-2019,43583,8518493487,N,6940
A01212,C01212,Christy,Lindop,Madrid,INACTIVE,SAVINGS,02-10-2019,27327,6856247869,Y,1509
A00541,C00541,Nina,Gates,Louisville,INACTIVE,SAVINGS,22-09-2019,29096,9329588616,Y,2958
A00030,C00030,Paki,Maynard,Aurora,ACTIVE,CURRENT,09-09-2019,43515,9867218785,Y,2449
A01056,C01056,Maxwell,Willson,Stockton,ACTIVE,CURRENT,11-08-2019,38087,9368768255,Y,8944
A00115,C00115,Mara,Gardner,Palma de Mallorca,SUSPENDED,DMAT,06-08-2019,22254,7774475376,N,8341
A01031,C01031,Alma,Vangness,Milwaukee,INACTIVE,SAVINGS,10-07-2019,46209,6822178777,N,8329
A00586,C00586,Bob,Utterson,Bakersfield,INACTIVE,SAVINGS,27-06-2019,47903,7872338594,Y,6048
A00444,C00444,Jillian,Henson,Eisenstadt,ACTIVE,CURRENT,25-06-2019,16410,9445516693,Y,2229
A00121,C00121,Simone,Moreno,Jagersfontein,INACTIVE,SAVINGS,14-06-2019,27521,6828488388,Y,4744
A01088,C01088,Eileen,Palmer,Innsbruck,SUSPENDED,DMAT,13-06-2019,35855,8871369343,Y,1394
A00252,C00252,Garth,Fulton,Fairbanks,SUSPENDED,DMAT,07-06-2019,23523,9857956219,N,3780
A00127,C00127,Ayanna,Coffey,St. Petersburg,ACTIVE,CURRENT,31-05-2019,47502,9388456139,Y,2871
A00431,C00431,Harding,Rowe,Colonnella,SUSPENDED,DMAT,21-05-2019,30872,8452277267,N,9929
A00318,C00318,Len,Vasquez,Novena,ACTIVE,CURRENT,16-05-2019,32233,9832516574,Y,7247
A01292,C01292,Erick,Gray,Paris,INACTIVE,SAVINGS,10-05-2019,44867,7643212782,Y,5959
A00243,C00243,Raymond,Foley,Hong Kong,SUSPENDED,DMAT,07-04-2019,19707,9834154678,N,9481
A01025,C01025,Jasmine,Wilde,Wien,SUSPENDED,DMAT,22-03-2019,37929,9215944885,Y,9867
A00843,C00843,Daron,Hepburn,Fullerton,ACTIVE,CURRENT,14-03-2019,47231,6958253675,Y,6426
A01172,C01172,Lynn,Curtis,Lincoln,ACTIVE,CURRENT,11-03-2019,26929,9265368883,Y,3212
A01086,C01086,Allison,Irving,Rome,INACTIVE,SAVINGS,24-02-2019,36190,6977771437,N,6722
A01222,C01222,Melania,Rycroft,Oklahoma City,SUSPENDED,DMAT,13-02-2019,38071,8258996362,N,9764
A00294,C00294,Zelda,Anthony,Chernihiv,INACTIVE,SAVINGS,11-02-2019,28622,9825558892,Y,9028
A01149,C01149,Rufus,Rowlands,Bakersfield,INACTIVE,SAVINGS,28-01-2019,35208,8882899257,Y,3481
A00048,C00048,Helen,Montgomery,Hagen,ACTIVE,CURRENT,22-01-2019,35083,7597547642,Y,9308
A00736,C00736,Abbey,Snow,Atlanta,ACTIVE,CURRENT,19-01-2019,48142,7896853314,Y,5039
A00387,C00387,Tyler,Richards,Tambov,SUSPENDED,DMAT,17-01-2019,41226,6668611259,N,8933
A01208,C01208,Russel,Pond,Indianapolis,ACTIVE,CURRENT,02-01-2019,17714,9136248567,Y,9246
A00494,C00494,Minerva,Matthews,Yahyalı,SUSPENDED,DMAT,28-12-2018,36857,7386726671,Y,4759
A01471,C01471,Angelina,Tutton,Orlando,INACTIVE,SAVINGS,16-12-2018,24996,8882495865,Y,6118
A01355,C01355,Clint,Cowan,Prague,INACTIVE,SAVINGS,02-12-2018,37686,7538847843,Y,6605
A00490,C00490,Plato,Myers,Lauterach,INACTIVE,SAVINGS,23-11-2018,36288,9364235247,Y,2692
A00743,C00743,Brad,Thomas,New York,SUSPENDED,DMAT,17-11-2018,48934,6322738217,N,5910
A00811,C00811,Owen,Norman,Madrid,INACTIVE,SAVINGS,04-11-2018,22332,8885528345,N,9247
A00722,C00722,Remy,Mackenzie,Boston,INACTIVE,SAVINGS,01-11-2018,26567,6727659622,Y,6008
A01229,C01229,Renee,Speed,Las Vegas,INACTIVE,SAVINGS,26-10-2018,18547,6583456742,Y,5721
A01164,C01164,Nathan,Cattell,New York,ACTIVE,CURRENT,06-10-2018,15492,9587431642,Y,8912
A00493,C00493,Candice,Cain,Bitung,SUSPENDED,DMAT,04-10-2018,27559,9153853885,Y,6282
A00341,C00341,Tanner,O'brien,Nagaon,SUSPENDED,DMAT,08-08-2018,47705,6481396693,Y,7938
A00744,C00744,Ronald,Larkin,Milwaukee,ACTIVE,CURRENT,01-08-2018,34909,9729323857,Y,4978
A01231,C01231,Freya,Samuel,Phoenix,SUSPENDED,DMAT,20-07-2018,24606,7828482938,N,5687
A00937,C00937,Selena,Gordon,Amarillo,INACTIVE,SAVINGS,27-06-2018,17796,9886655448,Y,5571
A00602,C00602,Brooklyn,Maxwell,Berna,ACTIVE,CURRENT,23-06-2018,48372,6247214511,Y,7702
A01275,C01275,Rylee,Crawley,Tulsa,SUSPENDED,DMAT,23-06-2018,33533,8722566238,Y,4214
A00684,C00684,Lana,Kennedy,Seattle,INACTIVE,SAVINGS,17-06-2018,26802,9285191866,N,3772
A00506,C00506,Manuel,Richardson,Louisville,INACTIVE,SAVINGS,12-06-2018,37863,7538748825,Y,2995
A00884,C00884,Rhea,Glass,Paris,INACTIVE,SAVINGS,07-06-2018,35940,8526675533,N,5461
A00824,C00824,Regina,Ramsey,Charlotte,SUSPENDED,DMAT,01-06-2018,28559,6425891294,N,7643
A00830,C00830,Peter,Richardson,Detroit,INACTIVE,SAVINGS,31-05-2018,31470,7246139628,Y,1982
A00549,C00549,Laila,Gilbert,Houston,INACTIVE,SAVINGS,21-05-2018,39171,6325818596,Y,9464
A00554,C00554,Elijah,Holmes,Fort Lauderdale,SUSPENDED,DMAT,14-05-2018,39989,6523567267,Y,6784
A01135,C01135,Rosie,Yoman,Madrid,ACTIVE,CURRENT,02-04-2018,42157,9535648226,Y,6073
A01063,C01063,Angela,Wills,Tulsa,ACTIVE,CURRENT,29-03-2018,24670,8825836294,Y,8211
A00578,C00578,Martin,Scott,Detroit,INACTIVE,SAVINGS,23-03-2018,26502,6679557244,Y,7352
A01484,C01484,Nicholas,Richards,Murfreesboro,SUSPENDED,DMAT,17-03-2018,44700,6578484278,Y,3003
A00303,C00303,Shad,Hale,Vilcún,INACTIVE,SAVINGS,11-03-2018,46609,8658555989,N,1436
A00385,C00385,Colby,Jefferson,Murray Bridge,SUSPENDED,DMAT,15-02-2018,17107,8385764886,Y,5088
A01072,C01072,Alan,Cork,Denver,ACTIVE,CURRENT,13-02-2018,44004,8486688846,Y,7444
A00694,C00694,Mina,Irving,Ontario,INACTIVE,SAVINGS,12-02-2018,33086,9718846871,Y,6545
A01009,C01009,Charlize,Poole,Tokyo,ACTIVE,CURRENT,04-02-2018,42062,9759438448,Y,1677
A01423,C01423,Kaylee,Oatway,Bakersfield,ACTIVE,CURRENT,26-01-2018,24750,8426866812,Y,8683
A00083,C00083,Jade,Landry,Okpoko,ACTIVE,CURRENT,26-12-2017,26148,8214373384,Y,4899
A00024,C00024,Imelda,Sherman,Nanton,INACTIVE,SAVINGS,17-11-2017,46141,7943247757,N,3446
A00848,C00848,Parker,Bentley,Pittsburgh,INACTIVE,SAVINGS,20-10-2017,40868,6528366128,N,3214
A00040,C00040,Leila,Stafford,Odda,INACTIVE,SAVINGS,19-10-2017,49663,7929735759,N,9486
A01070,C01070,Ronald,Edler,Ontario,SUSPENDED,DMAT,14-10-2017,49977,8162439545,N,8255
A01291,C01291,Hazel,Lakey,Baltimore,INACTIVE,SAVINGS,25-09-2017,25205,9397573316,Y,1635
A00528,C00528,Emely,Pearson,New York,ACTIVE,CURRENT,13-09-2017,42192,6933536183,Y,4544
A01460,C01460,Eve,Rowe,Anaheim,ACTIVE,CURRENT,31-08-2017,38880,6822478752,Y,9211
A00924,C00924,Chuck,Devonport,Jacksonville,ACTIVE,CURRENT,31-07-2017,25417,7932482635,Y,7962
A01453,C01453,Maxwell,Murray,Baltimore,INACTIVE,SAVINGS,18-07-2017,47607,8675457128,N,5410
A01297,C01297,Nate,Nobbs,El Paso,ACTIVE,CURRENT,17-07-2017,40218,6323418755,Y,1349
A00555,C00555,Rosa,Cooper,New York,ACTIVE,CURRENT,06-06-2017,31270,9188294162,Y,7470
A00882,C00882,Ember,Huggins,Albuquerque,INACTIVE,SAVINGS,25-04-2017,35042,8227313263,Y,4114
A01309,C01309,Jayden,Yoman,Kansas City,INACTIVE,SAVINGS,19-04-2017,35015,9152187972,N,7515
A01049,C01049,Scarlett,Waterhouse,Escondido,INACTIVE,SAVINGS,04-04-2017,36767,9362554364,Y,1635
A00583,C00583,Tony,York,Rome,ACTIVE,CURRENT,02-04-2017,18021,7753233286,Y,6314
A01249,C01249,Kassandra,Glass,Honolulu,SUSPENDED,DMAT,31-03-2017,49260,8953518283,Y,3566
A01343,C01343,Belinda,Powell,Columbus,ACTIVE,CURRENT,31-03-2017,46968,7187598282,Y,1331
A00017,C00017,Christopher,Franklin,Cartago,SUSPENDED,DMAT,01-03-2017,25100,8424688957,Y,1704
A01247,C01247,Aiden,Powell,Lincoln,INACTIVE,SAVINGS,23-02-2017,32999,9644922723,N,8271
A00231,C00231,Paki,Hays,North Waziristan,INACTIVE,SAVINGS,16-01-2017,36464,6129627782,N,1581
A00256,C00256,Jaden,Tate,Lạng Sơn,INACTIVE,SAVINGS,03-01-2017,18625,8647458554,N,3862
A00362,C00362,Kerry,Nicholson,Scena/Schenna,ACTIVE,CURRENT,27-12-2016,15572,9196453921,Y,2394
A00990,C00990,Aiden,Daniells,Oakland,INACTIVE,SAVINGS,21-12-2016,33002,7379237549,N,2457
A00534,C00534,Sarah,Moss,Omaha,SUSPENDED,DMAT,17-12-2016,31849,9164755148,Y,5543
A01438,C01438,Chris,Richards,Tulsa,SUSPENDED,DMAT,02-12-2016,45664,9971162867,N,1665
A00521,C00521,Ronald,Barrett,Bellevue,ACTIVE,CURRENT,13-11-2016,18509,8673482258,Y,5213
A01016,C01016,Doug,Reynolds,Paris,SUSPENDED,DMAT,11-11-2016,17744,9257328865,Y,3533
A01375,C01375,Marvin,Jeffery,Nashville,SUSPENDED,DMAT,06-11-2016,44621,8415627377,Y,5234
A00671,C00671,Matthew,Brooks,New York,SUSPENDED,DMAT,19-10-2016,43015,8244767532,N,7038
A01319,C01319,Chuck,May,Wien,INACTIVE,SAVINGS,23-09-2016,39157,7542782739,Y,2884
A01032,C01032,Julius,Ripley,Milwaukee,INACTIVE,SAVINGS,18-08-2016,24654,7728783887,Y,7112
A00676,C00676,Candice,Ebbs,Anaheim,INACTIVE,SAVINGS,14-08-2016,49956,6388445422,N,5388
A00196,C00196,Samantha,Haley,Ránquil,SUSPENDED,DMAT,30-07-2016,28755,8754414647,N,1869
A00645,C00645,Gwenyth,Warden,Memphis,ACTIVE,CURRENT,25-07-2016,39716,9497733242,Y,3848
A00346,C00346,Amethyst,Wood,Hawick,INACTIVE,SAVINGS,13-07-2016,23410,9875853686,Y,7191
A00334,C00334,Nasim,Diaz,Calamba,ACTIVE,CURRENT,30-06-2016,38791,7877197632,Y,4810
A00962,C00962,Julius,Holmes,Madison,INACTIVE,SAVINGS,09-06-2016,20799,7853542358,N,4507
A00667,C00667,Jayden,James,Fayetteville,INACTIVE,SAVINGS,06-06-2016,45698,8913696327,N,1071
A00112,C00112,Alika,Fleming,Pınarbaşı,INACTIVE,SAVINGS,05-06-2016,33640,8366725462,N,5633
A01233,C01233,Ryan,Randall,Charlotte,SUSPENDED,DMAT,30-05-2016,35534,9456359883,Y,8572
A00287,C00287,MacKenzie,Patton,Tijuana,SUSPENDED,DMAT,05-05-2016,44527,7292733453,N,9111
A00911,C00911,Janice,Fields,New Orleans,INACTIVE,SAVINGS,21-04-2016,15989,9711629339,N,4464
A00026,C00026,Jamalia,Castro,Soissons,SUSPENDED,DMAT,08-04-2016,15996,9437768489,Y,2629
A00734,C00734,Chester,Gibson,Lancaster,SUSPENDED,DMAT,08-04-2016,36884,7238252463,Y,8302
A00957,C00957,Robyn,Simpson,Wien,SUSPENDED,DMAT,17-03-2016,45675,6483545862,Y,7411
